chrom	start	end	tissue number	difference	tissue methylation
chr1	1099000	1099499	0	0.8282608695652174	0.021739130434782608
chr1	19688000	19688499	0	0.8076086956521739	0.025
chr1	11291500	11291999	0	0.7529761904761905	0.05952380952380952
chr1	32251500	32251999	0	0.7257543103448276	0.008620689655172414
chr1	32272500	32272999	0	0.7115384615384616	0.038461538461538464
chr1	63651500	63651999	0	0.7045454545454546	0.17045454545454547
chr1	91804500	91804999	0	0.6811594202898551	0.016666666666666666
chr1	23601000	23601499	0	0.6660569105691057	0.058333333333333334
chr1	9728500	9728999	0	0.6623029279279279	0.015625
chr1	89609000	89609499	0	0.6591435185185186	0.14814814814814814
chr1	23620500	23620999	0	0.6564558629776021	0.10869565217391305
chr1	19074500	19074999	0	0.5952093397745571	0.07608695652173914
chr1	27522500	27522999	0	0.5607174688057041	0.020833333333333332
chr1	46286000	46286499	0	0.5326460481099657	0.3333333333333333
chr1	9715500	9715999	0	0.5318181818181819	0.09848484848484848
chr1	53108000	53108499	0	0.525	0.2875
chr1	9716000	9716499	0	0.5157342657342657	0.19230769230769232
chr1	27084500	27084999	0	0.5073770491803278	0.05
chr1	33315500	33315999	0	0.5065104166666667	0.2109375
chr1	10496000	10496499	0	0.4862707535121328	0.32407407407407407
chr1	19074000	19074499	0	0.4802670447831739	0.43548387096774194
chr1	9729000	9729499	0	0.4770522388059702	0.3625
chr1	2153000	2153499	0	0.472911622276029	0.3660714285714286
chr1	3033000	3033499	0	0.4448356807511737	0.3333333333333333
chr1	2240500	2240999	0	0.4365357643758766	0.15217391304347827
chr1	8971500	8971999	0	0.423611111111111	0.3541666666666667
chr1	24992500	24992999	0	0.42250000000000004	0.04
chr1	27522000	27522499	0	0.4149999999999999	0.11000000000000001
chr1	8970500	8970999	0	0.4033737792246227	0.06451612903225806
chr1	20320500	20320999	0	0.4	0.225
chr1	91387000	91387499	0	0.38742690058479534	0.36257309941520466
chr1	8967500	8967999	0	0.37211538461538457	0.4519230769230769
chr1	55463500	55463999	0	0.36250000000000004	0.21250000000000002
chr1	12177500	12177999	0	0.3528428093645485	0.10869565217391305
chr1	6465000	6465499	0	0.3522267206477733	0.1346153846153846
chr1	32253000	32253499	0	0.3429487179487179	0.0
chr1	24981500	24981999	0	0.3169642857142857	0.21875
chr1	8926000	8926499	0	0.3035714285714286	0.4776785714285714
chr1	23627500	23627999	0	0.29365079365079366	0.1111111111111111
chr1	20323000	20323499	0	0.2841642228739003	0.41129032258064513
chr1	27113500	27113999	0	0.27384615384615374	0.5800000000000001
chr1	9191000	9191499	0	0.26868131868131867	0.4428571428571429
chr1	2152500	2152999	0	0.26617405582922815	0.5862068965517242
chr1	42014000	42014499	0	0.26066666666666666	0.3333333333333333
chr1	18948500	18948999	0	0.25293803418803423	0.11458333333333333
chr1	11282500	11282999	0	0.25115740740740744	0.6759259259259259
chr1	14969000	14969499	0	0.24952633573323224	0.4482758620689655
chr1	2894500	2894999	0	0.23697916666666663	0.5546875
chr1	24990000	24990499	0	0.2225942460317461	0.3611111111111111
chr1	23600500	23600999	0	0.22062500000000007	0.6699999999999999
chr1	25796000	25796499	0	0.2142857142857143	0.2857142857142857
chr1	67754000	67754499	0	0.20862068965517233	0.55
chr1	2236500	2236999	0	0.2047619047619047	0.65
chr1	2237000	2237499	0	0.20353535353535354	0.09090909090909091
chr1	14966500	14966999	0	0.20265151515151525	0.6931818181818181
